,positionName,companyFullName,salary,city,companySize,workYear,education,industryField,formatCreateTime
0,GO,北京九识佳科技有限公司,10k-20k,北京,15-50人,不限,本科,移动互联网,2018-03-13
1,Linux C/C++/Go/手机QQ后台开发,腾讯科技(深圳)有限公司,15k-30k,深圳,2000人以上,1-3年,本科,"移动互联网 ,游戏",2018-03-11
2,Golang开发工程师,深圳市随手科技有限公司,15k-25k,深圳,500-2000人,3-5年,本科,"移动互联网,金融",2018-03-13
3,Go,北京商询科技有限公司,15k-25k,北京,50-150人,3-5年,本科,"企业服务,数据服务",2018-03-13
4,Golang 开发工程师,上海流利说信息技术有限公司,18k-36k,上海,500-2000人,不限,本科,"移动互联网,教育",2018-03-13
5,GO,杭州云象网络技术有限公司,25k-45k,杭州,50-150人,3-5年,本科,"移动互联网,数据服务",2018-03-13
6,Golang开发工程师,北京三快在线科技有限公司,35k-50k,北京,2000人以上,1-3年,本科,"移动互联网,O2O",2018-03-13
7,Go,北京沃丰时代数据科技有限公司,8k-15k,北京,150-500人,1-3年,本科,其他,2018-03-13
8,golang工程师,拼途（北京）信息技术有限公司,18k-30k,北京,50-150人,1-3年,本科,"移动互联网,O2O",2018-03-13
9,Golang开发工程师,北京市商汤科技开发有限公司,17k-34k,北京,500-2000人,1-3年,本科,移动互联网,2018-03-12
10,GO,乐至（上海）科技有限公司,14k-25k,上海,15-50人,3-5年,大专,移动互联网,2018-03-13
11,Go /Golang 工程师,北京数美时代科技有限公司,20k-40k,北京,150-500人,1-3年,本科,"企业服务,数据服务",2018-03-12
12,Go,北京博晨技术有限公司,15k-30k,北京,50-150人,1-3年,本科,企业服务,2018-03-13
13,golang工程师,武汉斗鱼网络科技有限公司,10k-20k,武汉,2000人以上,1-3年,本科,移动互联网,2018-03-12
14,go开发工程师,炫一下（北京）科技有限公司,20k-40k,上海,500-2000人,1-3年,本科,"移动互联网,文化娱乐",2018-03-13
0,Golang开发工程师,北京三快在线科技有限公司,30k-42k,北京,2000人以上,1-3年,本科,"移动互联网,O2O",2018-03-13
1,Go,北京沃丰时代数据科技有限公司,20k-35k,北京,150-500人,5-10年,本科,其他,2018-03-13
2,GO工程师,北京兆信信息技术股份有限公司,15k-30k,北京,150-500人,5-10年,本科,移动互联网,2018-03-13
3,Golang开发工程师,北京小年糕互联网技术有限公司,20k-40k,北京,50-150人,1-3年,本科,移动互联网,2018-03-12
4,GO开发工程师,北京作业盒子科技有限公司,15k-30k,北京,500-2000人,1-3年,本科,"移动互联网,教育",2018-03-13
5,golang开发工程师,北京蚂蜂窝网络科技有限公司,15k-30k,北京,500-2000人,1-3年,本科,"移动互联网,旅游",2018-03-13
6,Go/golang,上海汇宜金融信息服务有限公司,12k-24k,上海,50-150人,1-3年,本科,移动互联网、数据服务,2018-03-13
7,Go/golang,车好多旧机动车经纪(北京)有限公司,20k-40k,北京,2000人以上,3-5年,本科,O2O,2018-03-12
8,GO开发工程师,上海阑途信息技术有限公司,15k-25k,上海,2000人以上,3-5年,本科,移动互联网,2018-03-13
9,go开发工程师,暴风集团股份有限公司,15k-30k,北京,2000人以上,3-5年,本科,文化娱乐,2018-03-12
10,Go开发,北京商询科技有限公司,15k-25k,北京,50-150人,3-5年,本科,"企业服务,数据服务",2018-03-13
11,GO开发工程师,北京市商汤科技开发有限公司,15k-30k,深圳,500-2000人,3-5年,本科,移动互联网,2018-03-13
12,Go,上海利莫网络科技有限公司,15K-30K,上海,15-50人,不限,大专,金融,2018-03-13
13,go开发工程师,北京蜜莱坞网络科技有限公司,35k-50k,北京,500-2000人,5-10年,本科,"移动互联网,文化娱乐",2018-03-09
14,Go研发工程师,钱包金服（北京）科技有限公司,15k-25k,北京,500-2000人,3-5年,大专,金融,2018-03-12
0,Go,北京沃丰时代数据科技有限公司,12k-24k,北京,150-500人,3-5年,本科,其他,2018-03-13
1,Go工程师,北京商询科技有限公司,15k-25k,北京,50-150人,3-5年,本科,"企业服务,数据服务",2018-03-13
2,Golang,北京旷视科技有限公司,20k-40k,北京,500-2000人,3-5年,本科,"移动互联网,硬件",2018-03-13
3,golang开发工程师,成都国美大数据科技有限公司,13k-20k,成都,150-500人,3-5年,本科,"电子商务,移动互联网",2018-03-13
4,Golang开发工程师,心动网络股份有限公司,10k-20k,上海,150-500人,1-3年,本科,"移动互联网,游戏",2018-03-13
