,positionName,companyFullName,salary,city,companySize,workYear,education,industryField,formatCreateTime
0,JS开发工程师,北京国双科技有限公司,15k-25k,北京,500-2000人,3-5年,本科,"数据服务,企业服务",2018-03-12
1,JavaScript研发工程师,北京爱奇艺科技有限公司,20k-35k,北京,2000人以上,不限,本科,"广告营销,文化娱乐",2018-03-06
2,Javascript高级软件开发工程师,软视视频软件（杭州）有限公司,14k-24k,苏州,500-2000人,3-5年,本科,"移动互联网,社交网络",2018-03-12
3,Javascript工程师,长沙辰运软件有限公司,8k-15k,长沙,150-500人,3-5年,大专,移动互联网,2018-03-13
4,JavaScript开发工程师,广州坚和网络科技有限公司,10k-15k,广州,150-500人,3-5年,不限,移动互联网,2018-03-12
5,JavaScript,上海泛微网络科技股份有限公司,12k-18k,上海,2000人以上,1-3年,本科,"移动互联网,企业服务",2018-03-13
6,Javascript高级软件开发工程师,软视软件（苏州）有限公司,10k-20k,苏州,50-150人,3-5年,本科,"数据服务,移动互联网",2018-03-12
7,JavaScript开发工程师,南京帆软软件有限公司,9k以上,无锡,500-2000人,不限,本科,数据服务,2018-03-13
8,JavaScript开发工程师,广州游爱网络技术有限公司,8k-11k,广州,500-2000人,1-3年,不限,"移动互联网,游戏",2018-03-13
9,Javascript工程师,北京每日优鲜电子商务有限公司,20k-30k,北京,500-2000人,3-5年,本科,"移动互联网,电子商务",2018-03-12
10,Javascript工程师,尚层装饰（北京）有限公司,10k-15k,北京,2000人以上,3-5年,大专,生活服务,2018-03-12
11,Javascript开发工程师,杏树林信息技术（北京）有限公司,10k-20k,北京,150-500人,1-3年,本科,"移动互联网,医疗健康",2018-03-13
12,JS工程师,XMind Ltd,15k-30k,深圳,50-150人,3-5年,本科,移动互联网,2018-03-13
13,JS开发工程师,北京新东方迅程网络科技有限公司,15k-25k,北京,500-2000人,1-3年,本科,"移动互联网,教育",2018-03-13
14,js 开发工程师,杭州币钥安全技术有限公司北京分公司,10k-14k,北京,50-150人,1-3年,本科,移动互联网 数据服务,2018-03-13
0,JS高级开发工程师,车满满（北京）信息技术有限公司,10k-18k,济南,150-500人,3-5年,本科,移动互联网,2018-03-13
1,JavaScript/C#,上海微创软件股份有限公司北京分公司,8k-12k,北京,2000人以上,1-3年,本科,"移动互联网,电子商务",2018-03-13
2,高级JS工程师,北京每日优鲜电子商务有限公司,30k-40k,北京,500-2000人,5-10年,本科,"移动互联网,电子商务",2018-03-12
3,Javascript 工程师,广州奇志信息科技有限公司,10k-20k,广州,15-50人,3-5年,本科,移动互联网,2018-03-13
4,高级JS开发工程师,北京全民星彩科技有限公司,20k-25k,北京,150-500人,5-10年,本科,移动互联网,2018-03-13
5,javascript 开发工程师,北京博雅创智互联科技有限公司,8k-15k,上海,15-50人,1-3年,本科,"移动互联网,教育",2018-03-13
6,JavaScript,北京八维研修学院,15k-25k,北京,2000人以上,3-5年,不限,教育,2018-03-13
7,JavaScript开发工程师,成都二次元动漫有限公司,15k-30k,成都,150-500人,5-10年,本科,"移动互联网,文化娱乐",2018-03-12
8,Node.js/JavaScript,迅捷联动（北京）科技有限公司,15k-30k,北京,15-50人,3-5年,本科,移动互联网,2018-03-12
9,JavaScript高级工程师,中信百信银行股份有限公司,20k-40k,北京,150-500人,3-5年,本科,"金融,移动互联网",2018-02-26
10,javascript工程师,车好多旧机动车经纪(北京)有限公司,20k-35k,北京,2000人以上,3-5年,本科,O2O,2018-03-12
11,资深js开发工程师,上海店达信息技术有限公司,11k-20k,上海,500-2000人,1-3年,本科,"电子商务,O2O",2018-03-13
12,资深JavaScript工程师,禾苗（武汉）信息技术有限公司,10k-16k,武汉,15-50人,不限,不限,电子商务,2018-03-13
13,cocos2d-x/js开发工程师,深圳市众人在线网络科技有限公司,8k-16k,深圳,少于15人,1年以下,本科,移动互联网,2018-03-13
14,js高级开发工程师,灵思云途营销顾问股份有限公司,20k-40k,北京,500-2000人,5-10年,大专,"数据服务,广告营销",2018-03-13
0,JS 开发,亿磐系统（深圳）有限公司,13k-17k,广州,2000人以上,3-5年,本科,企业服务,2018-03-05
1,Javascript 工程师 （杭州）,广州奇志信息科技有限公司,10k-20k,杭州,15-50人,1-3年,本科,移动互联网,2018-03-13
2,javascript,便利蜂商贸有限公司,15K-30K,北京,2000人以上,3-5年,不限,"移动互联网,生活服务",2018-02-27
3,js开发工程师,广州云隐科技有限公司,6k-12k,广州,15-50人,1-3年,大专,"其他,移动互联网",2018-03-12
4,Cocos2d-js（Creator）/egret,星汉（广州）科技有限公司,8k-15k,广州,15-50人,1-3年,本科,"移动互联网,游戏",2018-03-12
5,JS开发,杭州边锋网络技术有限公司,10k-15k,杭州,500-2000人,1-3年,本科,"移动互联网,游戏",2018-02-26
6,JS开发工程师-DNJS0018,北京多牛互动传媒股份有限公司,10k-20k,北京,150-500人,1-3年,本科,文化娱乐,2018-02-24
7,前端+js开发,奥琦玮信息科技（北京）有限公司,15k-25k,北京,150-500人,3-5年,本科,"移动互联网,O2O",2018-03-13
8,JavaScript工程师,广东佳米科技有限公司,10k-15k,珠海,50-150人,1-3年,本科,移动互联网,2018-03-12
9,Cocos2d-js / H5开发工程师,深圳市一花科技有限公司,15k-25k,深圳,50-150人,3-5年,大专,游戏,2018-03-13
10,javascript高级开发工程师,阿哈王国（武汉）教育科技有限公司,8k-15k,武汉,少于15人,3-5年,本科,"移动互联网,教育",2018-03-13
11,高级javascript工程师（3年以上）,杭州大名软件有限公司,10k-20k,杭州,50-150人,3-5年,本科,"电子商务,企业服务",2018-03-12
12,中级Javascript研发工程师,北京通通游技术有限公司,12k-24k,北京,50-150人,3-5年,大专,"电子商务,旅游",2018-03-13
13,cocos2d-js开发工程师,北京畅聊天下科技有限公司,25k-35k,北京,150-500人,3-5年,大专,移动互联网,2018-03-12
14,高级原生JS开发工程师,成都四方伟业软件股份有限公司,15k-20k,成都,500-2000人,3-5年,本科,移动互联网,2018-03-13
0,js开发,深圳市金鑫云端科技有限公司,18k-30k,深圳,150-500人,3-5年,大专,移动互联网,2018-03-12
1,JavaScript,无锡汇跑体育有限公司,6k-12k,无锡,50-150人,不限,不限,"移动互联网,文化娱乐",2018-03-13
2,JavaScript,重庆允升科技有限公司,10k-18k,重庆,50-150人,3-5年,本科,"电子商务,企业服务",2018-03-12
3,JavaScript,深圳市盈创丰茂科技有限公司,8k-14k,深圳,少于15人,1-3年,不限,"移动互联网,企业服务",2018-03-11
4,JavaScript高级工程师（EasyEDA）,深圳市立创电子商务有限公司,15k-25k,深圳,150-500人,1-3年,本科,"电子商务,硬件",2018-03-13
5,cocos-js/html5 游戏开发工程师,北京火舞科技有限公司,15k-25k,北京,15-50人,1-3年,大专,游戏,2018-03-12
6,JavaScript,世界货科技（深圳）有限公司,5k-10k,东莞,少于15人,不限,大专,"电子商务,移动互联网",2018-02-22
7,Cocos2d-JS开发工程师,洛克人（北京）智能科技有限公司,10k-20k,北京,15-50人,1-3年,不限,移动互联网、企业服务,2018-03-12
8,JavaScript资深工程师/技术经理,北京沃丰时代数据科技有限公司,20k-40k,北京,150-500人,5-10年,本科,其他,2018-03-13
9,javascript工程师,北京北工宏大微电子科技有限公司,7k-13k,北京,少于15人,1-3年,本科,移动互联网,2018-03-11
10,JavaScript开发工程师,央视国际视频通讯有限公司,10k-20k,北京,150-500人,3-5年,本科,文化娱乐,2018-03-05
11,JavaScript开发工程师,北京天机数测数据科技有限公司,10k-20k,北京,50-150人,3-5年,大专,"移动互联网,数据服务",2018-03-07
12,前端Html/JS工程师,成都兴隆卓果科技有限公司,4k-8k,成都,15-50人,1-3年,大专,"移动互联网,企业服务",2018-03-13
13,开发主管 JavaScript/Node.js,厦门铃盛软件有限公司,25k-35k,厦门,500-2000人,5-10年,本科,"移动互联网,数据服务",2018-03-13
14,JavaScript 工程师,快乐迭代（北京）网络科技有限公司,15k-30k,北京,15-50人,3-5年,本科,"移动互联网,社交网络",2018-03-12
0,JavaScript 工程师,快乐迭代（北京）网络科技有限公司,15k-30k,北京,15-50人,3-5年,本科,"移动互联网,社交网络",2018-03-12
1,javascript开发工程师,重庆云车流科技有限公司,5K-10K,重庆,50-150人,1-3年,不限,电子商务 O2O,2018-03-09
2,JavaScript,天津市正标津达线缆有限公司,6K-10K,天津,500-2000人,1-3年,本科,其他,2018-03-08
3,EasyEDA JavaScript高级工程师,深圳市立创电子商务有限公司,15k-25k,深圳,150-500人,1-3年,本科,"电子商务,硬件",2018-03-12
4,JavaScript,天津昊天伟业电子科技有限公司,6k-10k,天津,15-50人,1-3年,本科,"硬件,企业服务",2018-02-26
