,positionName,companyFullName,salary,city,companySize,workYear,education,industryField,formatCreateTime
0,Java开发工程师,广州明动软件股份有限公司,13k-20k,广州,150-500人,5-10年,本科,"企业服务,数据服务",2018-03-13
1,java工程师,招商银行股份有限公司信用卡中心,25k-35k,上海,2000人以上,1-3年,本科,"移动互联网,金融",2018-03-13
2,Java开发工程师,北京拉勾网络技术有限公司,15k-30k,北京,500-2000人,3-5年,本科,"企业服务,招聘",2018-03-12
3,java开发工程师,北京三快在线科技有限公司,25k-45k,北京,2000人以上,3-5年,本科,"移动互联网,O2O",2018-03-13
4,Java研发工程师,钱包金服（北京）科技有限公司,13k-24k,北京,500-2000人,3-5年,大专,金融,2018-03-13
5,Java开发工程师,深圳市和讯华谷信息技术有限公司,15k-30k,深圳,150-500人,3-5年,本科,"移动互联网,数据服务",2018-03-13
6,java开发工程师,暴风集团股份有限公司,20k-35k,北京,2000人以上,3-5年,本科,文化娱乐,2018-03-13
7,Java,畅捷通信息技术股份有限公司,25k-35k,北京,500-2000人,5-10年,本科,"移动互联网,企业服务",2018-03-12
8,Java开发工程师,广州华多网络科技有限公司,13k-25k,广州,2000人以上,3-5年,本科,移动互联网,2018-03-12
9,Java工程师,达疆网络科技（上海）有限公司,20k-35k,北京,2000人以上,5-10年,本科,O2O,2018-03-13
10,Java开发工程师,上海赜睿信息科技有限公司,15k-30k,上海,15-50人,3-5年,本科,"企业服务,数据服务",2018-03-13
11,java,上海萌店信息科技有限公司,15k-30k,上海,2000人以上,3-5年,本科,"移动互联网,电子商务",2018-03-13
12,Java开发工程师,阳光保险集团股份有限公司,15k-30k,北京,2000人以上,3-5年,本科,金融,2018-03-13
13,JAVA开发工程师,上海贝涛金融信息服务有限公司,15k-30k,上海,50-150人,不限,本科,金融,2018-03-13
14,Java开发工程师,招银网络科技（深圳）有限公司,15k-25k,深圳,2000人以上,3-5年,本科,金融,2018-03-13
0,JAVA开发工程师,广州明动软件股份有限公司,8k-13k,广州,150-500人,1-3年,本科,"企业服务,数据服务",2018-03-13
1,Java工程师,北京拉勾网络技术有限公司,15k-30k,北京,500-2000人,3-5年,本科,"企业服务,招聘",2018-03-13
2,Java工程师,北京三快在线科技有限公司,20k-30k,北京,2000人以上,3-5年,本科,"移动互联网,O2O",2018-03-13
3,Java工程师,达疆网络科技（上海）有限公司,20k-35k,上海,2000人以上,3-5年,本科,O2O,2018-03-12
4,Java工程师,上海赜睿信息科技有限公司,15k-30k,杭州,15-50人,3-5年,本科,"企业服务,数据服务",2018-03-13
5,java开发工程师,上海帜讯信息技术股份有限公司,13k-19k,南京,500-2000人,3-5年,本科,"移动互联网,其他",2018-03-13
6,Java开发工程师,成都柠檬时光科技有限公司,8k-12k,成都,150-500人,3-5年,本科,金融,2018-03-13
7,Java工程师,北京阳光第一车网科技有限公司,12k-24k,北京,150-500人,1-3年,本科,"移动互联网,电子商务",2018-03-12
8,JAVA开发工程师,北京旷视科技有限公司,15k-30k,北京,500-2000人,5-10年,本科,"移动互联网,硬件",2018-03-13
9,Java开发工程师,北京默契破冰科技有限公司,20k-35k,北京,50-150人,3-5年,本科,"移动互联网,社交网络",2018-03-13
10,Java开发工程师,北京安高盟科技服务有限公司,10k-15k,北京,50-150人,3-5年,大专,金融,2018-03-13
11,JAVA开发工程师,阳光保险集团股份有限公司,18k-36k,北京,2000人以上,5-10年,本科,金融,2018-03-12
12,JAVA开发工程师,深圳市前海亿车科技有限公司,15k-25k,深圳,150-500人,3-5年,本科,"移动互联网,数据服务",2018-03-13
13,JAVA研发工程师,链家网（北京）科技有限公司,20K-40K,北京,2000人以上,1-3年,本科,"移动互联网,O2O",2018-03-12
14,Java(NSD)J10026,上海萌店信息科技有限公司,15k-30k,上海,2000人以上,3-5年,大专,"移动互联网,电子商务",2018-03-13
0,java开发工程师,北京三快在线科技有限公司,15k-30k,上海,2000人以上,3-5年,本科,"移动互联网,O2O",2018-03-13
1,Java开发工程师,上海赜睿信息科技有限公司,15k-30k,北京,15-50人,3-5年,本科,"企业服务,数据服务",2018-03-13
2,JAVA工程师,上海帜讯信息技术股份有限公司,15k-30k,上海,500-2000人,3-5年,本科,"移动互联网,其他",2018-03-12
3,Java工程师,北京阳光第一车网科技有限公司,10k-20k,北京,150-500人,不限,本科,"移动互联网,电子商务",2018-03-12
4,Java开发工程师,武汉屈臣氏个人用品商店有限公司广州分公司,6k-10k,广州,2000人以上,不限,不限,"电子商务,生活服务",2018-03-13
5,Java工程师,北京京东世纪贸易有限公司,20k-40k,北京,2000人以上,3-5年,本科,电子商务,2018-03-12
6,Java开发工程师,深圳市随手科技有限公司,13k-25k,深圳,500-2000人,3-5年,本科,"移动互联网,金融",2018-03-13
7,Java开发工程师,北京旷视科技有限公司,20k-40k,武汉,500-2000人,3-5年,本科,"移动互联网,硬件",2018-03-13
8,Java开发工程师,快看世界（北京）科技有限公司,20k-35k,北京,150-500人,1-3年,本科,"移动互联网,文化娱乐",2018-03-12
9,Java开发工程师,中邮消费金融有限公司,16k-29k,广州,500-2000人,3-5年,本科,"移动互联网,金融",2018-03-12
10,Java,北京新奥华鼎贸易有限公司,15k-25k,北京,2000人以上,3-5年,本科,移动互联网,2018-03-08
11,Java工程师,北京爱奇艺科技有限公司,20k-35k,北京,2000人以上,3-5年,本科,"广告营销,文化娱乐",2018-03-12
12,JAVA开发工程师,北京国双科技有限公司,15k-25k,上海,500-2000人,5-10年,本科,"数据服务,企业服务",2018-03-12
13,Java开发工程师,成都数联铭品科技有限公司,15k-25k,成都,150-500人,1-3年,本科,"电子商务,数据服务",2018-03-12
14,java开发工程师,美的集团股份有限公司,15k-30k,广州,2000人以上,5-10年,本科,硬件,2018-03-09
0,Java研发工程师,北京旷视科技有限公司,20k-40k,北京,500-2000人,3-5年,本科,"移动互联网,硬件",2018-03-13
1,Java,武汉屈臣氏个人用品商店有限公司广州分公司,15k-25k,广州,2000人以上,不限,本科,"电子商务,生活服务",2018-03-13
2,Java开发,北京三快在线科技有限公司,25k-35k,北京,2000人以上,1-3年,本科,"移动互联网,O2O",2018-03-13
3,Java研发工程师,杭州大搜车汽车服务有限公司,10k-20k,上海,500-2000人,3-5年,本科,"移动互联网,O2O",2018-03-09
4,Java开发工程师,浙江畅唐网络股份有限公司,10k-20k,杭州,500-2000人,3-5年,本科,游戏,2018-03-06
5,JAVA工程师,美的集团股份有限公司,15k-25k,深圳,2000人以上,3-5年,本科,硬件,2018-03-10
6,JAVA开发工程师,杭州顺网科技股份有限公司,10k-20k,杭州,500-2000人,3-5年,本科,"游戏,文化娱乐",2018-03-09
7,JAVA开发工程师,北京云动数字媒体技术有限公司,16k-30k,北京,150-500人,3-5年,本科,"企业服务,移动互联网",2018-03-13
8,Java,北京新奥华鼎贸易有限公司,20k-30k,北京,2000人以上,5-10年,本科,移动互联网,2018-03-08
9,java,杭州云若网络科技有限公司,15k-25k,杭州,50-150人,3-5年,不限,电子商务,2018-03-12
10,java研发工程师,广东鸿特普惠信息服务有限公司,9k-18k,成都,2000人以上,3-5年,大专,金融,2018-03-12
11,JAVA开发工程师,深圳市随手科技有限公司,13k-20k,深圳,500-2000人,3-5年,本科,"移动互联网,金融",2018-03-13
12,Java,广州荔支网络技术有限公司,7k-14k,长沙,150-500人,3-5年,大专,移动互联网,2018-03-12
13,JAVA开发工程师,北京路客互联网科技有限公司,10k-20k,广州,150-500人,3-5年,本科,移动互联网,2018-03-12
14,Java开发工程师,中信百信银行股份有限公司,20k-40k,北京,150-500人,3-5年,本科,"金融,移动互联网",2018-03-12
0,Java开发工程师,北京旷视科技有限公司,20k-40k,北京,500-2000人,3-5年,本科,"移动互联网,硬件",2018-03-13
1,JAVA开发工程师,美的集团股份有限公司,10k-20k,广州,2000人以上,3-5年,本科,硬件,2018-03-08
2,Java研发工程师,广东鸿特普惠信息服务有限公司,13k-25k,上海,2000人以上,3-5年,本科,金融,2018-03-12
3,Java开发,北京三快在线科技有限公司,25k-35k,北京,2000人以上,3-5年,本科,"移动互联网,O2O",2018-03-13
4,java开发工程师,广州惠侨计算机科技有限公司,10k-15k,广州,150-500人,3-5年,本科,移动互联网,2018-03-12
5,Java开发工程师,广州汇量信息科技有限公司,20k-30k,北京,500-2000人,3-5年,本科,移动互联网,2018-03-12
6,JAVA工程师,微贷（杭州）金融信息服务有限公司,10k-18k,杭州,2000人以上,3-5年,大专,金融,2018-03-10
7,Java研发工程师,杭州大搜车汽车服务有限公司,10k-20k,杭州,500-2000人,3-5年,本科,"移动互联网,O2O",2018-03-09
8,JAVA开发工程师,奇虎360科技有限公司,20k-30k,北京,2000人以上,3-5年,本科,"移动互联网,游戏",2018-03-13
9,JAVA开发工程师,北京云杉世界信息技术有限公司,15k-30k,北京,2000人以上,3-5年,本科,"电子商务,O2O",2018-03-09
10,菜鸟-技术专家-JAVA,浙江菜鸟供应链管理有限公司,25k-50k,北京,2000人以上,3-5年,本科,电子商务,2018-03-13
11,Java开发工程师,杭州恩牛网络技术有限公司,18k-32k,杭州,500-2000人,3-5年,本科,"金融,数据服务",2018-03-13
12,Java高级,畅捷通信息技术股份有限公司,25k-35k,北京,500-2000人,5-10年,本科,"移动互联网,企业服务",2018-03-12
13,Java开发工程师,深圳美云智数科技有限公司,10k-20k,佛山,500-2000人,3-5年,本科,"企业服务,数据服务",2018-02-28
14,JAVA开发,北京京东世纪贸易有限公司,15k-30k,北京,2000人以上,5-10年,本科,电子商务,2018-03-10
0,JAVA开发工程师,北京三快在线科技有限公司,15k-30k,厦门,2000人以上,5-10年,本科,"移动互联网,O2O",2018-03-13
1,Java开发工程师,深圳市天天爱科技有限公司,8k-15k,深圳,150-500人,1-3年,大专,游戏,2018-03-12
2,java工程师,恒大地产集团珠三角房地产开发有限公司,20k-33k,广州,2000人以上,3-5年,本科,"移动互联网,生活服务",2018-03-12
3,java开发工程师,腾讯科技(深圳)有限公司,15k-30k,深圳,2000人以上,5-10年,本科,"移动互联网 ,游戏",2018-03-12
4,Java,杭州云若网络科技有限公司,10k-20k,杭州,50-150人,1-3年,本科,电子商务,2018-03-12
5,JAVA研发工程师,中国—东盟信息港股份有限公司,15k-25k,北京,150-500人,3-5年,本科,"数据服务,金融",2018-03-12
6,Java研发工程师,杭州大搜车汽车服务有限公司,11k-20k,杭州,500-2000人,3-5年,本科,"移动互联网,O2O",2018-03-09
7,Java研发工程师,杭州有赞科技有限公司,18k-36k,北京,500-2000人,5-10年,本科,"企业服务,电子商务",2018-03-13
8,Java,杭州开迅科技有限公司,10k-20k,杭州,150-500人,3-5年,本科,移动互联网,2018-03-13
9,Java开发工程师,中化石油有限公司,18k-35k,北京,2000人以上,3-5年,本科,"移动互联网,电子商务",2018-03-13
10,Java开发,点我达网络科技有限公司,12k-24k,杭州,500-2000人,1-3年,不限,O2O,2018-03-13
11,JAVA开发工程师,广东亿迅科技有限公司,7k-10k,广州,2000人以上,1-3年,本科,移动互联网,2018-03-13
12,java工程师,杭州群核信息技术有限公司,15k-25k,杭州,500-2000人,不限,本科,移动互联网,2018-03-12
13,JAVA开发工程师,顺丰科技有限公司,10k-20k,武汉,500-2000人,3-5年,本科,"移动互联网,电子商务",2018-03-13
14,Java工程师,拼途（北京）信息技术有限公司,10k-15k,北京,50-150人,1-3年,本科,"移动互联网,O2O",2018-03-13
0,Java开发工程师,北京三快在线科技有限公司,20k-35k,成都,2000人以上,3-5年,本科,"移动互联网,O2O",2018-03-13
1,Java开发工程师,顺丰科技有限公司,15k-30k,深圳,500-2000人,3-5年,本科,"移动互联网,电子商务",2018-03-13
2,java开发工程师,深圳前海用友力合金融服务有限公司,15k-30k,深圳,500-2000人,3-5年,本科,金融,2018-03-13
3,Java开发工程师,深圳市随手科技有限公司,13k-25k,深圳,500-2000人,3-5年,本科,"移动互联网,金融",2018-03-13
4,JAVA开发,杭州一骑轻尘信息技术有限公司,10k-18k,杭州,500-2000人,1-3年,不限,"移动互联网,电子商务",2018-03-12
5,JAVA开发,北京京东世纪贸易有限公司,15k-30k,北京,2000人以上,5-10年,本科,电子商务,2018-03-10
6,Java开发工程师,奇虎360科技有限公司,15k-25k,北京,2000人以上,3-5年,本科,"移动互联网,游戏",2018-03-13
7,Java开发工程师,北京自如友家资产管理有限公司,13k-25k,北京,2000人以上,1-3年,本科,"移动互联网,O2O",2018-03-13
8,Java工程师,快看世界（北京）科技有限公司,20k-35k,北京,150-500人,3-5年,本科,"移动互联网,文化娱乐",2018-03-12
9,Java,达疆网络科技（上海）有限公司,15k-30k,上海,2000人以上,不限,本科,O2O,2018-03-12
10,Java开发,链家网（北京）科技有限公司,15k-30k,北京,2000人以上,不限,本科,"移动互联网,O2O",2018-03-12
