,positionName,companyFullName,salary,city,companySize,workYear,education,industryField,formatCreateTime
0,Python研发工程师,杭州群核信息技术有限公司,15k-23k,杭州,500-2000人,1-3年,本科,移动互联网,2018-03-12
1,Python开发工程师,北京天下秀科技股份有限公司,18k-25k,北京,500-2000人,1-3年,本科,"移动互联网,广告营销",2018-03-12
2,Python开发工程师,深圳虾皮信息科技有限公司,15k-30k,深圳,2000人以上,1-3年,本科,电子商务,2018-03-13
3,Python 开发工程师,奇虎360科技有限公司,25k-35k,北京,2000人以上,3-5年,本科,"移动互联网,游戏",2018-03-13
4,Python开发工程师,北京市商汤科技开发有限公司,15k-30k,深圳,500-2000人,3-5年,本科,移动互联网,2018-03-13
5,python工程师,北京旷视科技有限公司,15k-30k,北京,500-2000人,3-5年,本科,"移动互联网,硬件",2018-03-13
6,Python开发工程师,杭州顺网科技股份有限公司,9k-16k,成都,500-2000人,3-5年,本科,"游戏,文化娱乐",2018-03-13
7,Python开发工程师,北京爱奇艺科技有限公司,18k-28k,北京,2000人以上,1-3年,硕士,"广告营销,文化娱乐",2018-03-08
8,Python开发工程师（中级）,深圳市和讯华谷信息技术有限公司,10k-15k,深圳,150-500人,1-3年,本科,"移动互联网,数据服务",2018-03-13
9,python研发工程师,先花信息技术（北京）有限公司,15k-20k,北京,150-500人,3-5年,大专,"移动互联网,金融",2018-03-08
10,技术工程部-python开发工程师,北京搜狗科技发展有限公司,20k-40k,北京,2000人以上,3-5年,本科,"移动互联网,数据服务",2018-03-13
11,Python,光合新知（北京）科技有限公司,15k-30k,北京,150-500人,1-3年,不限,"移动互联网,教育",2018-03-13
12,python工程师,北京作业盒子科技有限公司,20k-40k,北京,500-2000人,3-5年,本科,"移动互联网,教育",2018-03-12
13,Python开发工程师（上海）,平安科技（深圳）有限公司,10k-15k,上海,2000人以上,不限,本科,金融,2018-03-13
14,Python开发,顺丰科技有限公司,20k-30k,深圳,500-2000人,3-5年,本科,"移动互联网,电子商务",2018-03-13
0,Python工程师,北京旷视科技有限公司,20k-40k,北京,500-2000人,1-3年,本科,"移动互联网,硬件",2018-03-13
1,Python开发工程师（上海）,平安科技（深圳）有限公司,15k-30k,上海,2000人以上,不限,本科,金融,2018-03-13
2,Python开发工程师,腾讯科技(深圳)有限公司,15k-25k,深圳,2000人以上,3-5年,本科,"移动互联网 ,游戏",2018-03-07
3,Python开发工程师,深圳市和讯华谷信息技术有限公司,10k-20k,深圳,150-500人,1-3年,本科,"移动互联网,数据服务",2018-03-13
4,Python软件开发工程师,深信服科技股份有限公司,15k-20k,深圳,2000人以上,1-3年,本科,"信息安全,企业服务",2018-03-13
5,Python开发工程师（高级）,深圳虾皮信息科技有限公司,30k-50k,深圳,2000人以上,3-5年,本科,电子商务,2018-03-13
6,高级Python研发工程师,上海贝涛金融信息服务有限公司,15k-30k,上海,50-150人,3-5年,本科,金融,2018-03-13
7,服务端高级开发工程师Golang/Python,北京三快在线科技有限公司,35k-45k,北京,2000人以上,3-5年,本科,"移动互联网,O2O",2018-03-13
8,高级Python开发工程师,深圳晶泰科技有限公司,15k-23k,深圳,50-150人,1-3年,本科,"企业服务,医疗健康",2018-03-13
9,高级Python研发工程师,掌阅科技股份有限公司,25k-35k,北京,500-2000人,3-5年,本科,移动互联网,2018-03-13
10,中级Python工程师,成都数联铭品科技有限公司,10k-15k,成都,150-500人,3-5年,本科,"电子商务,数据服务",2018-03-12
11,Python开发工程师,北京车之家信息技术有限公司,15k-25k,北京,2000人以上,3-5年,本科,"移动互联网,文化娱乐",2018-03-01
12,高级Python开发工程师,深圳市明源云客电子商务有限公司,16k-22k,深圳,2000人以上,3-5年,本科,"移动互联网,企业服务",2018-03-13
13,搜狗AI云-Python开发工程师,北京搜狗科技发展有限公司,15k-25k,北京,2000人以上,1-3年,本科,"移动互联网,数据服务",2018-03-13
14,Python开发工程师,北京来也网络科技有限公司,15k-30k,上海,50-150人,1-3年,本科,移动互联网,2018-03-13
0,高级Python开发工程师,深圳市和讯华谷信息技术有限公司,15k-25k,深圳,150-500人,3-5年,本科,"移动互联网,数据服务",2018-03-13
1,Python开发工程师,深信服科技股份有限公司,12k-20k,北京,2000人以上,1-3年,本科,"信息安全,企业服务",2018-03-13
2,Python开发工程师（深圳）,平安科技（深圳）有限公司,15k-30k,深圳,2000人以上,3-5年,本科,金融,2018-03-13
3,高级Python开发工程师,北京旷视科技有限公司,25k-50k,北京,500-2000人,3-5年,本科,"移动互联网,硬件",2018-03-13
4,Python研发工程师（中高级）,掌阅科技股份有限公司,15k-25k,北京,500-2000人,3-5年,本科,移动互联网,2018-03-13
5,python工程师,北京作业盒子科技有限公司,15k-30k,北京,500-2000人,3-5年,本科,"移动互联网,教育",2018-03-13
6,Python工程师,维我软件（上海）有限公司北京分公司,15k-20k,北京,500-2000人,1-3年,本科,"移动互联网,企业服务",2018-03-13
7,Python开发工程师,北京摩尔妈咪网络科技有限公司,30k-50k,北京,15-50人,3-5年,本科,移动互联网,2018-03-13
8,Python研发工程师,上海道客网络科技有限公司,10k-20k,上海,150-500人,1-3年,本科,"企业服务,数据服务",2018-03-13
9,Python开发工程师,天道计然（北京）信息科技有限责任公司,15k-30k,北京,2000人以上,5-10年,本科,"移动互联网,金融",2018-03-13
10,Python工程师,北京创锐文化传媒有限公司,10k-18k,成都,2000人以上,3-5年,本科,电子商务,2018-03-13
11,Python工程师,北京点石经纬科技有限公司,15k-25k,北京,150-500人,3-5年,本科,"移动互联网,教育",2018-03-12
12,资深python开发工程师,北京国双科技有限公司,15k-25k,深圳,500-2000人,5-10年,本科,"数据服务,企业服务",2018-03-12
13,Python开发工程师,武汉佰钧成技术有限责任公司,9k-14k,杭州,2000人以上,1-3年,大专,移动互联网,2018-03-13
14,python开发工程师,北京一人一亩田网络科技有限公司,20k-36k,北京,150-500人,3-5年,本科,"移动互联网,电子商务",2018-03-13
0,Python开发工程师,深信服科技股份有限公司,10k-20k,深圳,2000人以上,不限,本科,"信息安全,企业服务",2018-03-12
1,Python开发工程师,维我软件（上海）有限公司北京分公司,20k-30k,北京,500-2000人,3-5年,本科,"移动互联网,企业服务",2018-03-13
2,Python开发工程师,北京摩尔妈咪网络科技有限公司,20k-40k,北京,15-50人,1-3年,本科,移动互联网,2018-03-13
3,python工程师,武汉北蚁网络科技有限公司,8k-10k,武汉,50-150人,3-5年,大专,"电子商务,移动互联网",2018-03-13
4,高级Python开发工程师,北京果壳互动科技传媒有限公司,20k-40k,北京,150-500人,3-5年,本科,"移动互联网,社交网络",2018-03-13
5,Python 开发工程师,北京智者天下科技有限公司,18k-36k,北京,500-2000人,1-3年,本科,"移动互联网,社交网络",2018-03-12
6,Python工程师,上海海万信息科技股份有限公司,8k-15k,上海,500-2000人,3-5年,大专,"移动互联网,金融",2018-03-13
7,算法工程师（python）,成都数联铭品科技有限公司,8k-16k,成都,150-500人,不限,硕士,"电子商务,数据服务",2018-03-12
8,高级python开发工程师,北京国双科技有限公司,15k-20k,深圳,500-2000人,3-5年,本科,"数据服务,企业服务",2018-03-12
9,python后台开发工程师,混沌时代（北京）教育科技有限公司,20k-40k,北京,150-500人,1-3年,本科,"移动互联网,教育",2018-03-13
10,Python工程师,北京优虎商务服务有限公司,20k-35k,北京,150-500人,1-3年,本科,"移动互联网,金融",2018-03-13
11,python开发工程师,会找房（北京）网络技术有限公司,15k-30k,北京,150-500人,3-5年,本科,移动互联网、金融,2018-03-13
12,Python开发工程师,青松智慧（北京）科技有限公司,8k-10k,郑州,15-50人,3-5年,本科,"移动互联网,企业服务",2018-03-13
13,Python 高级开发工程师,北京旷视科技有限公司,20k-40k,北京,500-2000人,3-5年,本科,"移动互联网,硬件",2018-03-13
14,Python工程师,长沙辰运软件有限公司,10k-15k,长沙,150-500人,不限,不限,移动互联网,2018-03-13
0,Python研发工程师（北京）,北京国双科技有限公司,10k-20k,北京,500-2000人,1-3年,本科,"数据服务,企业服务",2018-03-13
1,高级Python工程师-CD2818,贝壳金控控股集团有限公司,15k-25k,成都,500-2000人,3-5年,本科,金融、移动互联网,2018-03-11
2,Python中级工程师,先花信息技术（北京）有限公司,15k-20k,北京,150-500人,3-5年,不限,"移动互联网,金融",2018-03-08
3,Python软件开发工程师,维我软件（上海）有限公司北京分公司,15k-25k,北京,500-2000人,3-5年,本科,"移动互联网,企业服务",2018-03-13
4,Python,宽拓（北京）科技有限公司,20k-40k,北京,50-150人,3-5年,本科,"移动互联网,金融",2018-03-12
5,高级Python工程师,北京蚂蜂窝网络科技有限公司,15k-25k,北京,500-2000人,3-5年,本科,"移动互联网,旅游",2018-03-13
6,python工程师,北京好巧国际旅行社有限公司,15k-20k,北京,150-500人,3-5年,本科,数据服务,2018-03-13
7,Python 开发工程师,北京墨迹风云科技股份有限公司,20k-35k,北京,150-500人,3-5年,本科,"移动互联网,生活服务",2018-03-12
8,Python工程师,金色家园网络科技有限公司,18k-30k,北京,2000人以上,3-5年,本科,O2O,2018-03-13
9,Python工程师,厦门视我科技有限公司,10k-20k,厦门,15-50人,3-5年,本科,"移动互联网,电子商务",2018-03-13
10,高级python开发工程师,北京新工场投资顾问有限公司,15k-30k,北京,50-150人,1-3年,本科,"移动互联网,金融",2018-03-13
11,Python开发工程师,信达悦和资产管理（北京）有限公司,10k-20k,北京,50-150人,1-3年,本科,金融、移动互联网,2018-03-12
12,Python工程师,北京云游九州空间科技有限公司,10k-20k,北京,15-50人,1-3年,硕士,数据服务、企业服务,2018-03-12
13,Python工程师,武汉佰钧成技术有限责任公司,10k-18k,杭州,2000人以上,1-3年,大专,移动互联网,2018-03-13
14,python开发工程师,深圳市紫川软件有限公司,12k-19k,上海,500-2000人,3-5年,大专,"电子商务,金融",2018-03-13
0,Python,维我软件（上海）有限公司北京分公司,25k-35k,北京,500-2000人,3-5年,本科,"移动互联网,企业服务",2018-03-13
1,Python工程师,北京轮子科技有限公司,15k-25k,北京,15-50人,1-3年,本科,"移动互联网,生活服务",2018-03-13
2,Python开发,上海航仕企业管理有限公司,20k-35k,深圳,150-500人,3-5年,本科,"移动互联网,O2O",2018-03-13
3,Python软件开发工程师,瞬联软件科技（北京）有限公司,10k-15k,上海,500-2000人,1-3年,本科,"移动互联网 ,企业服务",2018-03-13
4,Python开发工程师,无锡华云数据技术服务有限公司,18k-28k,上海,500-2000人,3-5年,本科,"移动互联网,数据服务",2018-03-13
5,Python开发工程师,苏州锦佰安信息技术有限公司,12k-24k,苏州,15-50人,3-5年,本科,信息安全,2018-03-12
6,python工程师,深圳市紫川软件有限公司,8k-14k,深圳,500-2000人,1-3年,本科,"电子商务,金融",2018-03-13
7,Python 研发工程师,北京优帆科技有限公司,12k-24k,武汉,150-500人,1-3年,本科,数据服务,2018-03-13
8,python 开发工程师,上海墨沐金融信息服务有限公司,10k-20k,上海,15-50人,1-3年,本科,"移动互联网,金融",2018-03-13
9,Python 开发工程师,竹间智能科技（上海）有限公司,20k以上,上海,150-500人,不限,本科,"移动互联网,其他",2018-03-13
10,Python开发工程师,杭州牛盾网络技术有限公司,8k-16k,杭州,15-50人,1-3年,大专,"信息安全,移动互联网",2018-03-12
11,python工程师,深圳佑驾创新科技有限公司,15k-30k,深圳,50-150人,1-3年,本科,"硬件,其他",2018-03-12
12,Python,北京九州云动科技有限公司,15k-30k,北京,50-150人,1-3年,本科,"移动互联网,电子商务",2018-03-12
13,Python开发工程师,北京博智天下信息技术有限公司,20k-40k,北京,150-500人,5-10年,本科,教育,2018-03-12
14,Python开发工程师（码隆科技）,上海微创软件股份有限公司北京分公司,10k-20k,北京,2000人以上,1-3年,本科,"移动互联网,电子商务",2018-03-13
0,软件工程师 - Python,维我软件（上海）有限公司北京分公司,15k-25k,北京,500-2000人,3-5年,本科,"移动互联网,企业服务",2018-03-13
1,python开发工程师,浙江金科文化产业股份有限公司,10k-20k,广州,150-500人,1-3年,不限,移动互联网,2018-03-13
2,Python开发工程师,上海驻云信息科技有限公司,15k-25k,上海,150-500人,3-5年,大专,"移动互联网,企业服务",2018-03-13
3,Python工程师,北京摩尔妈咪网络科技有限公司,15k-30k,北京,15-50人,1-3年,本科,移动互联网,2018-03-13
4,Python工程师,北京爱咔咔信息技术有限公司,15k-30k,北京,15-50人,3-5年,本科,"移动互联网,O2O",2018-03-13
5,python开发,杭州健培科技有限公司,8k-15k,杭州,150-500人,1-3年,大专,"移动互联网,医疗健康",2018-03-12
6,python开发工程师,广州云移信息科技有限公司,12k-18k,深圳,500-2000人,3-5年,大专,"移动互联网,O2O",2018-03-13
7,Python开发,成都市肆零肆网络科技有限公司,10k-15k,成都,15-50人,1-3年,本科,"信息安全,数据服务",2018-03-12
8,Python开发工程师,上海谷露软件有限公司,13k-25k,上海,50-150人,不限,本科,"数据服务,招聘",2018-03-12
9,Python开发工程师,深圳众禄基金销售股份有限公司,18k-25k,深圳,150-500人,3-5年,大专,"移动互联网,金融",2018-03-12
10,Python工程师,有米科技股份有限公司,15k-25k,广州,500-2000人,1-3年,本科,"移动互联网,广告营销",2018-03-13
11,【5Miles】Python开发工程师,北京第三石科技发展有限公司,15k-30k,北京,50-150人,3-5年,本科,"移动互联网,电子商务",2018-03-13
12,Python 算法工程师,深圳晶泰科技有限公司,18k-30k,深圳,50-150人,3-5年,本科,"企业服务,医疗健康",2018-03-13
13,Python开发工程师,北京阿博茨科技有限公司,10k-20k,武汉,50-150人,3-5年,本科,移动互联网,2018-03-12
14,Python工程师,北京点石经纬科技有限公司,10k-20k,北京,150-500人,1-3年,本科,"移动互联网,教育",2018-03-12
0,资深Python开发工程师,维我软件（上海）有限公司北京分公司,25k-35k,北京,500-2000人,5-10年,本科,"移动互联网,企业服务",2018-03-13
1,python研发工程师,北京数美时代科技有限公司,15k-30k,北京,150-500人,1年以下,硕士,"企业服务,数据服务",2018-03-12
2,Python软件工程师,宁波清车电气有限公司,6k-8k,宁波,15-50人,1-3年,大专,电子商务,2018-03-09
3,Python开发工程师,信必优(深圳)信息技术有限公司,12k-16k,深圳,2000人以上,3-5年,大专,"移动互联网,电子商务",2018-03-13
4,Python工程师,北京开拓天际科技有限公司,15k-23k,北京,50-150人,3-5年,本科,"数据服务,信息安全",2018-03-13
5,Python 开发工程师,智车优行科技（北京）有限公司,15k-20k,北京,150-500人,3-5年,本科,"移动互联网,硬件",2018-03-13
6,Python开发工程师,北京奇安信科技有限公司,15k-30k,北京,2000人以上,3-5年,本科,"电子商务,企业服务",2018-03-12
7,Python,北京春雨天下软件有限公司,20k-40k,北京,150-500人,3-5年,本科,移动互联网,2018-03-12
8,Python 工程师,况客科技(北京)有限公司,15k-30k,北京,15-50人,1-3年,本科,金融,2018-03-12
9,Python工程师,上海基分文化传播有限公司,15k-30k,上海,500-2000人,3-5年,大专,移动互联网,2018-03-13
10,Python研发工程师（应届毕业生/实习生）,掌阅科技股份有限公司,8k-15k,北京,500-2000人,不限,本科,移动互联网,2018-03-13
11,Python开发工程师,广州杰颉软件科技有限公司,20k-25k,北京,15-50人,5-10年,本科,"信息安全,数据服务",2018-03-12
12,Python,北京零用钱科技有限公司,13k-16k,北京,50-150人,1-3年,本科,"移动互联网,广告营销",2018-03-12
13,python开发工程师,北京嘉楠捷思信息技术有限公司,15k-20k,北京,150-500人,3-5年,本科,硬件,2018-03-12
14,Python研发工程师,北京格上添富科技发展有限公司,13k-25k,北京,150-500人,3-5年,本科,"移动互联网,金融",2018-03-13
