公司全称,城市,岗位,薪资,发布时间
北京天下秀科技股份有限公司,北京,Python开发工程师,18k-25k,2018-03-21
光合新知（北京）科技有限公司,北京,Python,15k-30k,2018-03-21
北京市商汤科技开发有限公司,深圳,Python开发工程师,15k-30k,2018-03-21
先花信息技术（北京）有限公司,北京,python研发工程师,15k-20k,2018-03-21
深圳虾皮信息科技有限公司,深圳,Python开发工程师,15k-30k,2018-03-21
奇虎360科技有限公司,北京,Python 开发工程师,25k-35k,2018-03-21
杭州群核信息技术有限公司,杭州,Python研发工程师,15k-23k,2018-03-20
北京搜狗科技发展有限公司,北京,技术工程部-python开发工程师,20k-40k,2018-03-21
北京旷视科技有限公司,北京,Python工程师,20k-40k,2018-03-19
厦门点触科技股份有限公司,厦门,Python程序员,10k-20k,2018-03-19
平安科技（深圳）有限公司,上海,Python开发工程师（上海）,15k-30k,2018-03-19
深信服科技股份有限公司,深圳,Python软件开发工程师,15k-20k,2018-03-21
人人行科技有限公司,北京,Python,15k-25k,2018-03-20
深圳市和讯华谷信息技术有限公司,深圳,Python开发工程师,10k-20k,2018-03-20
北京三快在线科技有限公司,北京,服务端高级开发工程师Golang/Python,35k-45k,2018-03-21
平安科技（深圳）有限公司,上海,Python开发工程师（上海）,10k-15k,2018-03-19
深信服科技股份有限公司,北京,Python开发工程师,12k-20k,2018-03-21
北京旷视科技有限公司,北京,python工程师,15k-30k,2018-03-19
北京爱奇艺科技有限公司,北京,Python开发工程师,18k-28k,2018-03-08
腾讯科技(深圳)有限公司,深圳,Python开发工程师,15k-25k,2018-03-07
成都捷云智慧科技有限公司,成都,Python,8K-10K,2018-03-21
北京群星闪耀科技有限公司,北京,Python工程师,15k-25k,2018-03-21
先花信息技术（北京）有限公司,北京,Python中级工程师,15k-20k,2018-03-21
浙江亿咖通科技有限公司,杭州,Python开发工程师,10k-18k,2018-03-21
深圳市和讯华谷信息技术有限公司,深圳,Python开发工程师（中级）,10k-15k,2018-03-20
北京国双科技有限公司,深圳,资深python开发工程师,15k-25k,2018-03-20
